transaction_id,timestamp,amount,transaction_type,location,client_credit_score,transaction_frequency,customer_age,annual_income,account_balance,num_previous_loans,customer_tenure,num_dependents,education_level,marital_status,housing_type,fraud
1,2023-01-11 23:15:00,31.705255165350987,retiro,Region_D,582,4,32,39615.20837636735,87327.96403246508,0,4,5,4,viudo,familiar,0
2,2023-01-01 14:20:00,23.918016078218617,transferencia,Region_C,455,3,21,44249.87847331856,71636.2270273921,9,18,0,1,divorciado,propia,0
3,2023-01-27 11:58:00,92.5295623632714,transferencia,Region_C,479,2,30,37617.57095247112,82196.011243938,5,27,2,2,soltero,propia,1
4,2023-01-08 20:04:00,70.04133915945089,pago,Region_C,386,5,46,51472.479789405435,74139.75017760755,0,20,4,4,viudo,familiar,0
5,2023-01-05 08:25:00,201.80078141176492,transferencia,Region_A,705,4,67,46632.454228626026,30783.51199569935,10,17,5,1,divorciado,propia,0
6,2023-01-12 16:50:00,305.0671501002765,transferencia,Region_D,795,1,33,58994.26404265467,12078.560869215282,5,16,3,4,soltero,propia,0
7,2023-01-26 19:54:00,51.895842152411355,solicitud_credito,Region_A,566,1,18,55196.830877568296,71719.88176386799,0,30,5,3,casado,alquilada,0
8,2023-01-16 06:02:00,70.5929635721037,pago,Region_A,363,3,51,32478.16655491333,905627.0651494235,5,5,1,2,soltero,propia,0
9,2023-01-12 03:03:00,355.8425279416603,transferencia,Region_C,418,5,50,40314.26740777082,97853.14226116284,9,5,2,3,soltero,familiar,0
10,2023-01-29 12:50:00,32.32939709344826,transferencia,Region_D,640,2,32,72001.51655487221,4887.258691308116,2,2,4,3,viudo,otro,0
11,2023-01-02 04:05:00,157.20976939897994,transferencia,Region_B,612,5,75,47851.60324205246,63684.16524148414,5,14,2,3,viudo,alquilada,0
12,2023-01-01 12:49:00,25.52018489500321,pago,Region_B,462,2,52,29834.36246177671,61735.08215296514,2,18,3,1,viudo,otro,0
13,2023-01-02 16:33:00,114.40075855157974,solicitud_credito,Region_D,804,3,70,44624.33607976997,36915.97065657297,9,18,2,4,soltero,alquilada,0
14,2023-01-04 16:31:00,29.25145670188946,retiro,Region_B,592,2,46,49876.627639466875,55256.14246220244,5,12,1,4,casado,propia,0
15,2023-01-27 06:19:00,215.18693529497122,solicitud_credito,Region_C,676,6,75,93285.02301716147,45579.68093674925,10,9,1,1,viudo,alquilada,0
16,2023-01-28 05:08:00,82.4345169088636,pago,Region_C,841,3,38,42501.04037166922,92458.66252167565,5,24,0,2,viudo,propia,0
17,2023-01-13 04:48:00,20.57133940350154,pago,Region_A,700,3,56,43397.75590958333,29915.53414008733,6,16,2,1,soltero,alquilada,0
18,2023-01-14 17:29:00,25.407861387948298,pago,Region_C,699,5,18,54352.70463428102,17930.856653090777,5,26,1,3,viudo,otro,0
19,2023-01-20 22:13:00,68.09206219000144,retiro,Region_B,698,0,66,63223.64506802529,67313.34278051525,5,10,1,4,soltero,propia,0
20,2023-01-05 10:36:00,325.97505701255545,pago,Region_A,786,1,60,89768.79730634551,28583.56052042905,5,4,3,1,soltero,familiar,0
21,2023-01-20 02:00:00,146.81213698747376,solicitud_credito,Region_D,814,2,22,45148.46473807703,5569.672518023161,8,24,1,3,soltero,alquilada,0
22,2023-01-29 18:34:00,67.00356080346911,transferencia,Region_D,323,2,72,46041.64215773658,80149.03518593217,6,14,1,3,viudo,otro,0
23,2023-01-18 19:38:00,41.20655600877917,transferencia,Region_A,358,1,87,79013.0772028882,32456.75816158241,7,15,2,1,viudo,alquilada,0
24,2023-01-14 03:42:00,79.68834456903356,pago,Region_C,539,2,19,24678.88148131909,99249.78091257643,1,27,2,3,soltero,alquilada,0
25,2023-01-13 19:11:00,137.97590962736314,pago,Region_A,610,0,85,50613.84887015003,31203.284299347135,2,9,1,1,viudo,alquilada,0
26,2023-01-02 21:47:00,153.2146316922275,retiro,Region_A,620,4,80,32371.340403654845,55567.38363095614,1,24,5,3,viudo,propia,0
27,2023-01-01 03:09:00,39.24631976138046,transferencia,Region_C,780,3,84,19047.568885641413,16111.559712878354,10,9,2,3,viudo,propia,0
28,2023-01-14 06:38:00,127.71145139730248,retiro,Region_D,713,1,87,35224.300403959634,53287.32498753993,4,13,3,2,divorciado,alquilada,0
29,2023-01-25 20:13:00,107.23271303239292,retiro,Region_A,621,0,20,25454.67820974449,26503.508267518315,7,13,1,4,casado,propia,0
30,2023-01-02 07:39:00,319.6925798910615,retiro,Region_D,701,1,56,48728.95720885152,68216.56442677644,4,27,1,2,viudo,otro,0
31,2023-01-01 21:07:00,267.4958189381809,retiro,Region_B,358,1,28,24730.021347559945,2842.6145275694093,1,24,2,1,casado,familiar,0
32,2023-01-22 21:51:00,155.76965150766745,solicitud_credito,Region_C,352,1,47,42336.851123561115,69907.07881024304,1,1,2,1,casado,propia,0
33,2023-01-08 21:54:00,128.51636583990526,pago,Region_B,363,1,67,59470.5510904356,51770.95897801533,9,18,3,1,divorciado,propia,0
34,2023-01-03 11:16:00,32.02625518922957,pago,Region_D,418,6,84,45633.09928198077,38001.580014513405,1,24,0,2,soltero,propia,0
35,2023-01-03 16:50:00,187.0577092264777,retiro,Region_B,585,5,65,48242.498850082666,6457.04555422748,3,27,1,3,soltero,propia,0
36,2023-01-29 21:26:00,55.77525064214783,retiro,Region_B,317,3,57,26394.22492844583,6241.784125598449,9,17,1,1,casado,propia,0
37,2023-01-22 08:20:00,31.778470091497084,solicitud_credito,Region_B,304,3,33,62385.86474459153,79217.16697891938,4,0,3,2,viudo,otro,0
38,2023-01-11 01:42:00,48.476932021107,retiro,Region_A,691,4,49,54766.491661964414,74066.5027805762,5,27,0,1,casado,propia,0
39,2023-01-16 02:57:00,180.74955749432894,solicitud_credito,Region_A,459,2,79,47522.88764623408,46565.6475036222,6,26,0,3,soltero,otro,0
40,2023-01-08 09:07:00,16.09122392430296,solicitud_credito,Region_C,441,6,57,54145.923533676105,689.1828909726394,7,28,2,1,viudo,familiar,0
41,2023-01-07 02:32:00,60.90978782382137,retiro,Region_D,696,6,88,46722.533935677304,81307.24478805043,4,26,0,2,divorciado,familiar,0
42,2023-01-30 21:01:00,67.79780055152126,pago,Region_D,317,1,83,58614.07389139991,66555.69446848457,2,0,1,1,casado,propia,0
43,2023-01-06 20:33:00,3.7317411085119065,solicitud_credito,Region_C,413,2,28,64259.92817258727,7681.3566671006365,4,8,4,3,divorciado,alquilada,0
44,2023-01-30 20:41:00,21.78401760373452,pago,Region_D,833,4,23,42334.25418181118,27654.384615065264,0,4,1,4,casado,propia,0
45,2023-01-08 15:36:00,175.29759395631834,pago,Region_D,831,2,26,40852.76434181144,6779.984294739583,6,6,1,3,divorciado,propia,0
46,2023-01-17 14:17:00,177.64811115800995,solicitud_credito,Region_B,760,2,36,38672.72563612071,86983.73570950341,7,28,0,4,divorciado,alquilada,1
47,2023-01-02 19:32:00,34.58976338884537,transferencia,Region_B,585,2,42,35888.79189769794,50376.917723029066,5,9,2,2,casado,propia,0
48,2023-01-17 07:23:00,207.8619756221431,solicitud_credito,Region_D,304,3,22,32224.017517659875,37424.57199056829,5,12,5,1,viudo,propia,0
